0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:55:09 +0700] "GET /shopbanhang/san-pham/1 HTTP/1.1" 200 17702
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:55:09 +0700] "GET /shopbanhang/san-pham/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:55:09 +0700] "GET /shopbanhang/san-pham/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:55:09 +0700] "GET /shopbanhang/san-pham/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:55:09 +0700] "GET /shopbanhang/san-pham/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:55:09 +0700] "GET /shopbanhang/san-pham/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:55:09 +0700] "GET /shopbanhang/san-pham/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:55:15 +0700] "GET /shopbanhang/san-pham/1 HTTP/1.1" 200 17702
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:55:15 +0700] "GET /shopbanhang/san-pham/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:55:15 +0700] "GET /shopbanhang/san-pham/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:55:15 +0700] "GET /shopbanhang/san-pham/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:55:15 +0700] "GET /shopbanhang/san-pham/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:55:15 +0700] "GET /shopbanhang/san-pham/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:55:15 +0700] "GET /shopbanhang/san-pham/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:55:55 +0700] "GET /shopbanhang/san-pham/1 HTTP/1.1" 200 17702
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:55:55 +0700] "GET /shopbanhang/san-pham/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:55:55 +0700] "GET /shopbanhang/san-pham/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:55:55 +0700] "GET /shopbanhang/san-pham/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:55:55 +0700] "GET /shopbanhang/san-pham/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:55:55 +0700] "GET /shopbanhang/san-pham/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:55:55 +0700] "GET /shopbanhang/san-pham/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:04 +0700] "GET /shopbanhang/san-pham/1 HTTP/1.1" 200 17702
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:05 +0700] "GET /shopbanhang/san-pham/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:05 +0700] "GET /shopbanhang/san-pham/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:05 +0700] "GET /shopbanhang/san-pham/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:05 +0700] "GET /shopbanhang/san-pham/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:05 +0700] "GET /shopbanhang/san-pham/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:05 +0700] "GET /shopbanhang/san-pham/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:35 +0700] "GET /shopbanhang/san-pham/1 HTTP/1.1" 200 17702
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:35 +0700] "GET /shopbanhang/san-pham/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:35 +0700] "GET /shopbanhang/san-pham/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:35 +0700] "GET /shopbanhang/san-pham/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:35 +0700] "GET /shopbanhang/san-pham/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:35 +0700] "GET /shopbanhang/san-pham/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:35 +0700] "GET /shopbanhang/san-pham/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:36 +0700] "GET /shopbanhang/san-pham/1 HTTP/1.1" 200 17702
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:36 +0700] "GET /shopbanhang/san-pham/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:36 +0700] "GET /shopbanhang/san-pham/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:36 +0700] "GET /shopbanhang/san-pham/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:36 +0700] "GET /shopbanhang/san-pham/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:36 +0700] "GET /shopbanhang/san-pham/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:36 +0700] "GET /shopbanhang/san-pham/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:37 +0700] "GET /shopbanhang/san-pham/1 HTTP/1.1" 200 17702
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:37 +0700] "GET /shopbanhang/san-pham/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:37 +0700] "GET /shopbanhang/san-pham/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2023:14:56:37 +0700] "GET /shopbanhang/san-pham/assets/img/6.png HTTP/1.1" 404 682
